Frame,Visibility,X,Y
0,1,960,540
1,1,960,540
2,1,960,540
3,1,960,540
4,1,960,540
5,1,960,540
6,1,960,540
7,1,960,540
8,1,960,540
9,1,960,540
10,1,960,540
11,1,960,540
12,1,960,540
13,1,960,540
14,1,960,540
15,1,960,540
16,1,960,540
17,1,960,540
18,1,960,540
19,1,960,540
20,1,960,540
21,1,960,540
22,1,960,540
23,1,960,540
24,1,960,540
25,1,960,540
26,1,960,540
27,1,960,540
28,1,960,540
29,1,960,540
30,1,960,540
31,1,960,540
32,1,960,540
33,1,960,540
34,1,960,540
35,1,960,540
36,1,960,540
37,1,960,540
38,1,960,540
39,1,960,540
40,1,960,540
41,1,960,540
42,1,960,540
43,1,960,540
44,1,960,540
45,1,960,540
46,1,960,540
47,1,960,540
48,1,960,540
49,1,960,540
50,1,960,540
51,1,960,540
52,1,960,540
53,1,960,540
54,1,960,540
55,1,960,540
56,1,960,540
57,1,960,540
58,1,960,540
59,1,960,540
60,1,960,540
61,1,960,540
62,1,960,540
63,1,960,540
64,1,960,540
65,1,960,540
66,1,960,540
67,1,960,540
68,1,960,540
69,1,960,540
70,1,960,540
71,1,960,540
72,1,960,540
73,1,960,540
74,1,960,540
75,1,960,540
76,1,960,540
77,1,960,540
78,1,960,540
79,1,960,540
80,1,960,540
81,1,960,540
82,1,960,540
83,1,960,540
84,1,960,540
85,1,960,540
86,1,960,540
87,1,960,540
88,1,960,540
89,1,960,540
90,1,960,540
91,1,960,540
92,1,960,540
93,1,960,540
94,1,960,540
95,1,960,540
96,1,960,540
97,1,960,540
98,1,960,540
99,1,960,540
100,1,960,540
101,1,960,540
102,1,960,540
103,1,960,540
104,1,960,540
105,1,960,540
106,1,960,540
107,1,960,540
108,1,960,540
109,1,960,540
110,1,960,540
111,1,960,540
112,1,960,540
113,1,960,540
114,1,960,540
115,1,960,540
116,1,960,540
117,1,960,540
118,1,960,540
119,1,960,540
120,1,960,540
121,1,960,540
122,1,960,540
123,1,960,540
124,1,960,540
125,1,960,540
126,1,960,540
127,1,960,540
128,1,960,540
129,1,960,540
130,1,960,540
131,1,960,540
132,1,960,540
133,1,960,540
134,1,960,540
135,1,960,540
136,1,960,540
137,1,960,540
